"Run","subFuncID","AIC","BIC"
8,7,-839.114099322584,-803.075893916682
8,8,-833.26930534186,-821.25657020656
8,9,-837.251681134103,-813.226210863502
8,10,-837.663609820368,-813.638139549767
8,11,-838.908592783554,-802.870387377653
8,12,-837.204755505552,-813.179285234951
8,13,-838.495585953315,-802.457380547414
8,14,-839.218874115214,-803.180668709313
8,15,-836.113864486525,-788.062923945324
8,16,-774.757136591686,-762.744401456385
8,17,-833.592860229949,-809.567389959348
8,18,-837.57830358917,-813.552833318569
8,19,-838.539384781976,-802.501179376074
8,20,-836.224040461218,-812.198570190617
8,21,-838.185257561776,-802.147052155875
8,22,-839.347526235534,-803.309320829633
8,23,-836.519482158672,-788.46854161747
8,24,-837.774407798705,-813.748937528104
8,25,-837.964087238134,-801.925881832232
8,26,-834.477636132584,-798.439430726683
8,27,-836.93814659393,-788.887206052728
8,28,-837.359414535279,-801.321209129377
8,29,-836.729178461406,-788.678237920205
8,30,-836.912985768668,-788.862045227466
8,31,-832.988212132941,-772.924536456439
9,1,-798.322391679818,-786.309656544517
9,2,-798.370287039214,-786.357551903913
9,3,-797.932523688354,-773.907053417753
9,4,-800.486419072658,-788.473683937358
9,5,-798.29952921929,-774.274058948689
9,6,-801.203704264605,-777.178233994004
9,7,-797.547933527948,-761.509728122046
9,8,-787.805981814084,-775.793246678783
9,9,-798.671252977295,-774.645782706694
9,10,-795.075304100629,-771.049833830028
9,11,-797.497394738468,-761.459189332566
9,12,-797.440315716408,-773.414845445807
9,13,-797.384871124938,-761.346665719037
9,14,-797.517590723066,-761.479385317164
9,15,-794.297765686731,-746.246825145529
9,16,-730.379155314809,-718.366420179509
9,17,-799.4285259161,-775.403055645499
9,18,-794.875624365305,-770.850154094704
9,19,-797.464469879522,-761.42626447362
9,20,-796.887939613905,-772.862469343304
9,21,-797.319823152305,-761.281617746404
9,22,-797.470481761327,-761.432276355425
9,23,-794.815374636179,-746.764434094977
9,24,-793.045064724013,-769.019594453412
9,25,-797.206259460058,-761.168054054156
9,26,-793.673027044152,-757.634821638251
9,27,-795.093903700583,-747.042963159381
9,28,-797.13348996146,-761.095284555558
9,29,-795.375514954351,-747.324574413149
9,30,-794.838880049259,-746.787939508057
9,31,-791.098316082764,-731.034640406262
10,1,-772.261018901886,-760.248283766586
10,2,-770.925978494889,-758.913243359588
10,3,-770.251179408802,-746.225709138201
10,4,-772.172371737818,-760.159636602517
10,5,-770.753774374493,-746.728304103892
10,6,-770.540623284655,-746.515153014054
10,7,-769.563568171241,-733.52536276534
10,8,-757.199607532202,-745.186872396902
10,9,-771.245805348193,-747.220335077592
10,10,-768.722308719074,-744.696838448473
10,11,-769.583680253506,-733.545474847605
10,12,-770.395058476395,-746.369588205794
10,13,-769.568487854452,-733.530282448551
10,14,-769.604449598598,-733.566244192697
10,15,-765.571872659999,-717.520932118797
10,16,-694.777499877865,-682.764764742564
10,17,-772.087037091118,-748.061566820517
10,18,-768.511845873669,-744.486375603068
10,19,-769.501820057833,-733.463614651931
10,20,-770.121524254563,-746.096053983962
10,21,-769.437213663441,-733.39900825754
10,22,-769.58937859041,-733.551173184508
10,23,-765.601296295523,-717.550355754321
10,24,-766.686289975163,-742.660819704562
10,25,-769.355353033832,-733.317147627931
10,26,-766.789327879601,-730.751122473699
10,27,-765.587332680082,-717.53639213888
10,28,-769.148667160186,-733.110461754284
10,29,-765.5274800585,-717.476539517299
10,30,-765.595660711135,-717.544720169933
10,31,-761.579524491525,-701.515848815022
11,1,-733.029829183567,-721.017094048266
11,2,-740.330481080688,-728.317745945388
11,3,-738.837689597547,-714.812219326946
11,4,-740.696818390057,-728.684083254757
11,5,-739.078028253724,-715.052557983123
11,6,-737.415055610792,-713.389585340191
11,7,-738.120809837726,-702.082604431824
11,8,-731.294250653954,-719.281515518653
11,9,-739.091938469698,-715.066468199097
11,10,-741.41745352523,-717.391983254629
11,11,-737.974558024677,-701.936352618776
11,12,-740.153739007454,-716.128268736853
11,13,-737.770647309675,-701.732441903774
11,14,-737.944795969236,-701.906590563334
11,15,-734.352246284033,-686.301305742831
11,16,-674.696394616592,-662.683659481291
11,17,-738.670237347351,-714.64476707675
11,18,-741.392777307112,-717.367307036511
11,19,-737.688065956733,-701.649860550831
11,20,-740.768963410169,-716.743493139568
11,21,-737.475637677616,-701.437432271715
11,22,-737.900251480326,-701.862046074425
11,23,-734.278751338902,-686.2278107977
11,24,-740.932714286115,-716.907244015514
11,25,-737.277055911511,-701.238850505609
11,26,-737.430433535225,-701.392228129324
11,27,-734.132181250926,-686.081240709724
11,28,-737.239881139248,-701.201675733346
11,29,-733.890500733477,-685.839560192275
11,30,-734.19092854669,-686.139988005488
11,31,-730.990648635722,-670.926972959219
12,1,-901.279608604226,-889.266873468926
12,2,-908.442879699632,-896.430144564331
12,3,-905.237141627559,-881.211671356958
12,4,-907.569233786608,-895.556498651307
12,5,-904.932499650459,-880.907029379858
12,6,-905.903236399194,-881.877766128593
12,7,-903.097166864922,-867.05896145902
12,8,-895.316279196151,-883.30354406085
12,9,-904.593415823727,-880.567945553126
12,10,-906.31274862794,-882.287278357339
12,11,-902.893210859471,-866.855005453569
12,12,-905.549363060146,-881.523892789545
12,13,-902.568407971844,-866.530202565943
12,14,-903.035850446344,-866.997645040442
12,15,-898.94007646991,-850.889135928708
12,16,-830.009380646415,-817.996645511114
12,17,-903.909203246007,-879.883732975406
12,18,-906.16039140484,-882.134921134239
12,19,-902.321780919316,-866.283575513414
12,20,-905.673923261262,-881.648452990661
12,21,-901.877225240303,-865.839019834401
12,22,-902.731246584274,-866.693041178372
12,23,-899.876336573029,-851.825396031827
12,24,-904.927019711994,-880.901549441393
12,25,-901.421304018683,-865.383098612782
12,26,-902.504450458847,-866.466245052945
12,27,-900.320902434448,-852.269961893246
12,28,-901.686408094301,-865.6482026884
