"Run","subFuncID","AIC","BIC"
5,9,-733.750952570535,-709.725482299934
5,10,-374.004042540672,-349.978572270071
5,11,-777.773270692438,-741.735065286536
5,12,-645.519973368607,-621.494503098006
5,13,-771.889687271098,-735.851481865196
5,14,-777.376860595604,-741.338655189702
5,15,-774.797272641516,-726.746332100314
5,16,-396.053844636163,-384.041109500863
5,17,-633.559898332876,-609.534428062275
5,18,-425.044682710931,-401.01921244033
5,19,-778.770903547104,-742.732698141202
5,20,-518.044215461748,-494.018745191147
5,21,-768.003379197933,-731.965173792032
5,22,-753.507937167532,-717.46973176163
5,23,-775.0393810464,-726.988440505198
5,24,-445.115627698834,-421.090157428233
5,25,-731.840449597067,-695.802244191166
5,26,-460.980070492114,-424.941865086212
5,27,-775.108148560818,-727.057208019616
5,28,-645.860776179181,-609.82257077328
5,29,-774.717527642539,-726.666587101337
5,30,-773.679103105466,-725.628162564264
5,31,-772.038884419606,-711.975208743103
6,1,-12.2279100982039,-0.215174962903415
6,2,-250.96541871364,-238.952683578339
6,3,-754.060049891355,-730.034579620754
6,4,-201.14635115914,-189.133616023839
6,5,-726.01055755364,-701.985087283039
6,6,-270.63519069311,-246.609720422509
6,7,-750.167578486601,-714.129373080699
6,8,-314.585651954996,-302.572916819696
6,9,-657.451372029832,-633.425901759231
6,10,-326.255942839015,-302.230472568414
6,11,-750.259925097635,-714.221719691734
6,12,-542.38759561115,-518.362125340549
6,13,-731.986299559487,-695.948094153585
6,14,-735.237827145681,-699.199621739779
6,15,-746.322558258369,-698.271617717167
6,16,-341.291028436217,-329.278293300916
6,17,-495.886224951962,-471.860754681361
6,18,-341.644900712084,-317.619430441483
6,19,-750.075814419451,-714.037609013549
6,20,-381.350935109817,-357.325464839216
6,21,-722.510127112479,-686.471921706577
6,22,-672.309534510086,-636.271329104184
6,23,-746.182896359449,-698.131955818247
6,24,-341.952425187733,-317.926954917132
6,25,-656.333506349191,-620.29530094329
6,26,-342.12017784214,-306.081972436239
6,27,-746.299580249741,-698.248639708539
6,28,-543.092869953329,-507.054664547427
